station_name,station_full_name,station_zone,average_delay,median_delay,total_records
AA,ATARIA,NER,30.230036297640652,20.0,2204
AABH,AMBIKA BHAWANI HALT,ECR,31.0105421686747,15.0,1328
AADR,AMBANDAURA,NR,15.286668315607223,4.0,4043
AAG,ANGAR,CR,35.714285714285715,29.0,1449
AAGH,ANTAGARH,SECR,17.915036674816626,0.0,1636
AAH,ITEHAR,NCR,17.68118195956454,3.0,1929
AAL,AMLAI,SECR,53.61698200276881,30.0,8668
AAM,ANGADIPPURAM,SR,7.721895664952241,5.0,5444
AAP,AMBIAPUR,NCR,46.82386363636363,35.0,2288
AAR,ADESAR,WR,14.432164634146341,10.0,1312
AAS,ASRANADA,NWR,21.619478260869567,17.0,2875
AAY,ARALVAYMOZHI,SR,19.826689774696707,12.0,2885
AB,AMBUR,SR,17.110155763239874,13.0,8025
ABD,AMBLI ROAD,WR,12.8624213836478,9.0,2544
ABE,AMBIKESHWAR,NCR,9.589572933998891,2.0,1803
ABFC,AMBARI FALAKATA,NFR,15.8216011042098,10.0,2898
ABGM,AMBALGRAM,ER,4.101010101010101,0.0,1089
ABGT,ARABAGATTA H,SWR,11.964383561643835,11.0,730
ABI,AMBATURAI,SR,12.176580359225566,8.0,4287
ABKA,AMBIKA KALNA,ER,20.41985787603632,15.0,5066
ABKP,AMBIKAPUR,SECR,6.212896349586997,1.0,3753
ABLE,AMBALE,CR,26.527422303473493,20.0,1094
ABO,ASTHAL BOHAR JN,NR,39.17800845828528,26.0,7803
ABP,AKBARPUR,NR,59.866815753509755,37.0,8049
ABR,ABU ROAD,NWR,12.593817718291906,1.0,15690
ABRV,AMBARI RICHHAVI,WR,2.0603566529492454,0.0,2187
ABS,ABOHAR,NR,17.60463025398966,9.0,8898
ABSA,AMBASA,NFR,68.61320754716981,25.0,3498
ABU,AMBATTUR,SR,10.335595667870036,7.0,6925
ABW,ABUTARA H,NFR,38.59118086696562,2.0,1338
ABX,AMBARI,SCR,23.65912208504801,15.0,1458
ACG,ACHEGAON,CR,20.93241379310345,11.0,725
ACH,ACHALGANJ,NR,27.86447931526391,16.0,1402
ACK,ACHARAPAKKAM,SR,8.122153209109731,4.0,1449
ACL,ANCHELI,WR,16.080833942940746,11.0,5468
ACLE,AZIMGANJ CITY,ER,15.09515570934256,0.0,8092
ACN,ADHICHCHANUR,SR,3.5621004566210046,0.0,2190
ACPR,ARCHIPATHAR HALT,NFR,15.252636625119846,7.0,2086
ACRN,ACHIRNE,KR,51.81917808219178,43.0,730
ACU,ACHUARA H,ECR,38.28914141414141,26.0,2376
AD,ADONI,SCR,42.34604302727622,26.0,10412
ADB,ADILABAD,SCR,12.056861258529189,1.0,3957
ADD,ADAS ROAD,WR,7.834159779614325,5.0,3630
ADE,ADARI ROAD,WR,20.044273339749758,8.0,1039
ADF,ADINA,NFR,33.32873245916724,18.0,4347
ADH,ANDHERI,WR,24.17387371087389,13.0,5527
ADHL,ADIHALLI,SWR,5.255400864138262,0.0,2083
ADI,AHMEDABAD JN,WR,19.464109712483456,5.0,35511
ADL,ANDUL,SER,106.47705753823743,62.0,1373
ADPT,ANDIPATTI,SR,8.649712092130518,6.0,1042
ADQ,ADHIKARI,NFR,47.2341873498799,33.0,2498
ADR,MANDI ADAMPUR,NWR,26.80288830849593,15.0,6509
ADRA,ADRA JN,SER,31.558970797850957,14.0,27361
ADST,ADI SAPTAGRAM,ER,15.178817056396149,14.0,727
ADT,ADUTURAI,SR,19.198957904840256,16.0,7293
ADTL,ADHARTAL,WCR,72.2954295154185,45.0,3632
ADTP,ADITYAPUR,SER,78.2847040335254,27.0,7636
ADVI,ADAVALI,KR,58.31351351351351,49.0,2220
ADX,ADAPUR,ECR,71.27171376717656,44.0,3857
AED,AULENDA,NCR,14.575799086757991,6.0,2190
AEH,ANANTPAITH,NCR,37.504702194357364,27.0,638
AEJ,ARNEJ,WR,7.142390289449113,6.0,2142
AEK,ANEKAL ROAD,SWR,32.40173482032218,26.0,4035
AEL,ATELI,NWR,23.220427005193308,19.0,5199
AEX,ADDERI,SWR,9.897400820793434,5.0,1462
AF,AGRA FORT,NCR,31.96733536393236,8.0,9521
AFK,ANGAMALI,SR,24.48979457466421,18.0,15188
AFR,ASAFPUR,NR,51.31167315175097,41.0,2570
AGA,AGRA CITY,NCR,43.20949720670391,34.0,1432
AGAE,AGRADWIP,ER,14.160766961651918,10.0,1356
AGAS,AGAS,WR,0.41815068493150687,0.0,5840
AGB,AMBAGAON,ECOR,34.72078907435508,24.0,659
AGC,AGRA CANTT,NCR,40.000431756997,19.0,39374
AGCI,ANGADI,WR,8.142575928008998,7.0,3556
AGD,AGASOD,NCR,65.52876712328766,38.5,730
AGI,AMGURI,NFR,35.032758620689656,27.0,4060
AGM,AGARAM SIBBANDI,SR,10.811872146118722,11.0,1095
AGMN,AGOMONI,NFR,84.23851478917558,76.0,1589
AGN,AMGAON,SECR,88.01005377601122,50.0,8554
AGP,AGARPARA,ER,6.167582417582418,4.0,364
AGR,AMARGARH,WR,17.270890410958906,10.0,2920
AGT,AGTHORI,NFR,15.992465753424657,7.0,2920
AGTL,AGARTALA,NFR,27.96339382658601,2.0,6447
AGTR,AGAUTHAR H,NER,31.997689463955638,6.0,2164
AGV,ANGUA P H,SER,69.3721201516477,25.0,3429
AGX,AGASTIYAMPALLI,SR,-3.1971153846153846,0.0,1040
AGY,AGORI KHAS,NCR,38.42974640164496,16.0,1459
AGZ,AMAGURA,ECOR,34.05766312594841,22.0,659
AH,ACHHNERA JN,NCR,35.32991747528793,22.0,11027
AHA,ABHAIPUR,ER,36.07932216800739,15.0,15166
AHH,AHMADGARH,NR,33.956482114376854,20.0,4389
AHJU,AHJU,NR,4.538461538461538,0.0,1573
AHL,AJHARAIL,NFR,59.94101382488479,57.5,2170
AHLR,AHALYAPUR,NER,88.07142857142857,33.0,1974
AHM,AHIMANPUR,NER,47.290437255599,13.0,2813
AHMP,ADARSH MANPUR,ECR,36.629629629629626,32.0,648
AHN,AHIRAN,ER,29.481793960923625,15.0,4504
AHO,ADARSHNAGAR,NWR,13.402739726027397,10.0,730
AHQ,AHERA,NR,37.09284867641249,27.0,7593
AHU,AHIRAULI H,NER,91.20044543429844,71.0,1347
AHZ,ADHINPUR,NR,76.42445054945055,61.0,728
AI,ADIPUR,WR,24.55847427132062,11.0,2779
AIA,AJARAKA,NWR,20.551308539944902,14.0,2904
AIG,ALGAWAN,NR,73.80155210643015,63.5,902
AIH,ALAWALPUR IDRISPUR,NR,42.91551246537396,34.0,5776
AII,AJMER JN,NWR,15.997984451482868,2.0,27784
AILM,AILAM H,NR,41.74594517008756,31.0,6967
AIP,ATTIPPATTU,SR,18.23769730733519,16.0,2154
AIPP,ATTIPATTU PUDU NGR H,SR,16.99025069637883,15.0,2154
AIT,AIT,NCR,35.277054951783256,15.0,6533
AJ,AJGAIN,NR,53.91378263509411,37.0,3294
AJE,ANJAR,WR,19.17787913340935,11.0,3508
AJH,AJHAI,NCR,60.25493798805696,37.0,2177
AJI,ANJHI SHAHABAD,NR,58.07037611477317,41.0,5158
AJIT,AJIT,NWR,26.08121546961326,23.0,3620
AJJ,ARAKKONAM,SR,20.657673347699028,12.0,33877
AJK,AJAKOLLU,SCR,34.81728123280132,3.0,1817
AJL,AJITWAL,NR,22.402417962003454,17.0,4053
AJN,AJNOD,WR,13.620768526989936,9.0,4372
AJNI,AJNI,CR,40.6141223272004,14.0,6033
AJP,AJJAMPUR,SWR,22.71301369863014,13.0,4380
AJR,AJAIBPUR,NCR,41.41749309055438,32.0,6151
AJRE,AUJURI,NFR,32.9472602739726,26.0,1460
AJTM,AJIT GILL MATTA H,NR,9.440817571690054,7.0,3278
AJU,ARJUNI,SECR,92.89102124742975,78.5,2918
AJUG,ABJUGANJ,ER,37.5014245014245,18.0,2808
AK,AKOLA JN,CR,53.58448918126337,16.0,25234
AKAT,AKKAMPET,SR,15.73816155988858,16.0,2154
AKD,AKODIA,WR,20.7948682766191,11.0,7288
AKE,AKANAPET,SCR,54.61538461538461,44.0,8528
AKJ,AKBARGANJ,NR,85.39769452449568,62.0,1041
AKK,AKKIHEBBALU,SWR,23.498492737736367,18.0,3649
AKLA,AKLERA,WCR,5.106273568735002,0.0,2917
AKM,ARAMBAKAM,SR,17.65413184772516,16.0,2154
AKN,AKBARNAGAR,ER,34.22230619736558,20.0,9262
AKNR,ADHYATMIK NAGAR H,NR,67.74610974610975,48.0,1221
AKOR,AKALKOT ROAD,CR,47.70002054653791,32.0,4867
AKOT,AKOT,SCR,-7.269230769230769,0.0,2184
AKP,ANAKAPALLE,SCR,50.38607557274621,32.0,16805
AKR,AKOLNER,CR,39.61341853035144,30.0,313
AKS,ANKUSPUR,NER,49.216928025733814,20.0,4974
AKT,AKALTARA,SECR,71.62917779542337,30.0,13853
AKV,ANKLESHWAR JN,WR,19.20354605765279,12.0,17033
AKVD,AKIVIDU,SCR,42.6742465540067,32.0,12841
AKW,AKORA,NCR,49.111280487804876,44.0,1312
AKZ,AKASHI P H,SER,6.028638681836014,0.0,2549
AL,ATTILI,SCR,26.365330093155123,17.0,4938
ALAI,ALAI,NWR,17.4,13.0,730
ALAL,ALAL,NR,16.85997357992074,13.0,1514
ALAT,AVULADATLA,SWR,23.387610619469026,0.0,565
ALAU,ALAU,WR,8.833800186741364,3.0,2142
ALB,ALIA BADA,WR,41.13725490196079,34.0,2142
ALER,ALER,SCR,48.69415764291111,36.0,7942
ALGP,ALGAPUR,NFR,16.117808219178084,11.0,730
ALJ,ALIGANJ,NER,19.237534246575343,9.0,3650
ALJN,ALIGARH JN,NCR,55.07942833585269,26.0,29108
ALK,ALAKKUDI,SR,9.723031157037733,7.0,6387
ALLP,ALLEPPEY,SR,22.966461872063608,14.0,13835
ALM,ALAMANDA,ECOR,58.89612326043738,40.0,4024
ALMR,ALAMPUR,WR,19.205097806757557,17.0,3374
ALMW,ALMAW H,NER,47.29576964095272,13.0,2813
ALN,ALANDI,CR,23.363511659807955,15.0,729
ALNI,ALNIYA,WCR,19.177495107632094,15.0,5110
ALNP,AKELA HANSPUR H,NER,3.315583398590446,0.0,2554
ALP,ALAPAKAM,SR,21.042922374429224,19.0,2190
ALPD,ADALPAHARI,ER,33.390946502057616,21.0,729
ALPR,ALAMPUR ROAD,SCR,61.81404958677686,42.0,1452
ALS,AMLORI SARSAR,NER,34.81151623829448,15.0,5019
ALU,ARIYALUR,SR,22.092691400918227,16.0,8059
ALUH,ALAULI,ECR,48.47410358565737,18.5,502
ALW,ALWAL,SCR,39.89778076664425,31.0,2974
AMA,ATAMANDA,NER,17.922778854137835,11.0,3613
AMB,AMBODALA,ECOR,59.304041146216015,41.0,6805
AMBG,ARAMBAG,ER,0.723404255319149,0.0,47
AMC,AMRITAPURA,SWR,25.376068376068375,22.0,1638
AMD,AMILA H,NER,18.16083916083916,0.0,572
AMDI,AMDI,SECR,49.75608011444921,25.0,1398
AME,AMETHI,NR,60.03766977928693,32.0,9424
AMG,ALAMNAGAR,NR,32.391442876649975,9.0,4394
AMGA,AMJONGA,NFR,31.600500417014178,25.0,2398
AMH,AZAMGARH,NER,32.67072265914824,12.0,6739
AMI,AMRAVATI,CR,6.418986008725741,0.0,6647
AMIN,AMIN,NR,61.57775377969762,44.5,2778
AML,AMALSAD,WR,14.654781779155735,10.0,8386
AMLA,AMLA JN,CR,42.66331521739131,24.0,11040
AMLI,AMLI,WCR,29.75521405049396,18.0,3644
AMLO,AMLO,ECR,75.2481684981685,53.0,2184
AMLP,AMALPUR,WR,6.919350399119185,5.0,3633
AMM,ATIRAMPATTINAM,SR,7.157018813314037,4.0,1382
AMNE,AMALNER BHANDYACHE,CR,2.9190938511326863,0.0,618
AMNR,AMMANUR,SR,3.0251949610077986,0.0,1667
AMO,AMOLWA,ECR,42.104674796747965,4.0,984
AMP,AHMADPUR JN,ER,30.75700685114334,25.0,11239
AMPA,AMBALAPUZHA,SR,30.538597525044196,20.0,6788
AMPL,AMMAPALI,ER,31.87871853546911,18.0,4370
AMPR,AMARPURA RATHAN,NWR,21.061977715877436,16.0,1436
AMQ,AMMUGUDA,SCR,37.88118131868132,28.0,2912
AMRA,AMHA PIPRA,ECR,69.87,18.0,500
AMRO,AMROHA,NR,58.31015666255941,37.0,11362
AMS,AMAUSI,NR,54.29326047358834,33.5,3294
AMSA,AMMASANDRA,SWR,18.869309518623393,12.0,4591
AMT,AMMAPET,SR,11.127477973568283,7.0,3632
AMVA,AMARAVIIA,SR,15.70754716981132,12.0,3180
AMW,AMAN VADI,SCR,37.54931506849315,30.0,1460
AMY,AKATHUMURI,SR,9.385822196397443,6.0,1721
AN,AMALNER,WR,30.99194012665515,8.0,8685
ANA,ASLANA,WCR,53.27692842251564,40.0,2878
ANAH,AUNTA H,ECR,45.25479452054795,41.0,365
ANAS,ANAS,WR,15.903561643835616,7.0,3650
ANB,AMMANABROLU,SCR,73.50794585050029,68.0,5097
ANC,ANNECHAKANAHALLI H,SWR,16.588154269972453,11.0,2178
ANCR,ANCHURI P H,SER,24.173076923076923,12.0,6396
AND,ANDAMPALLAM,SR,5.536073059360731,0.0,1095
ANDI,ADRSH NGR DELHI,NR,50.579623866865106,39.0,7391
ANDN,ANAND NAGAR,NER,82.56987125270182,39.0,10641
ANE,ANANTARAJUPET,SCR,45.93150684931507,31.0,1387
ANF,ANANDAPURAM,SWR,17.353231106243154,13.0,3652
ANG,AHMADNAGAR,CR,63.97423672870634,33.0,10907
ANGL,ANGUL,ECOR,58.0550010397172,43.0,9618
ANGM,AUNGARIDHAM H,ECR,36.29575536284801,23.0,2191
ANGR,ANGADGERI H,SWR,25.752126366950183,16.0,823
ANH,ANKORAH AKORHA,ECR,61.29173207744636,38.0,3822
ANK,ANKAI,CR,9.88659793814433,1.0,1455
