train_no,train_name,type_code
1211,BD NK SPL,PASS-TRAINS
1212,NK BD SPL,PASS-TRAINS
1461,SUR DD DMU SPL,PASS-TRAINS
1462,DD SUR DMU SPL,PASS-TRAINS
3020,AZ KNJ PASS SPL,PASS-TRAINS
4189,GOY ALJN FAST MEMU SPL,PASS-TRAINS
4190,ALJN GOY FAST MEMU,PASS-TRAINS
4503,KLK SML SPL,PASS-TRAINS
4504,SML KLK SPL,PASS-TRAINS
4703,HMH SGNR PASS SPL,PASS-TRAINS
4704,SGNR HMH PASS SPL,PASS-TRAINS
4768,SGNR HMH PASS SPL,PASS-TRAINS
4769,HMH SGNR PASS SPL,PASS-TRAINS
4773,SGNR SOG SPL,PASS-TRAINS
4774,SOG SGNR PASS SPL,PASS-TRAINS
4775,SDLP HMH SPL,PASS-TRAINS
4776,HMH SDLP SPL,PASS-TRAINS
4777,SDLP HMH SPL,PASS-TRAINS
4778,HMH SDLP PASS,PASS-TRAINS
4779,SGNR SOG SPL,PASS-TRAINS
4780,SOG SGNR SPL,PASS-TRAINS
4783,BTI SSA HSPL,PASS-TRAINS
4784,SSA BTI HSPL,PASS-TRAINS
4801,SIKR JP SPL,PASS-TRAINS
4802,JP SIKR SPL,PASS-TRAINS
4849,RTGH CUR DEMU SPL,PASS-TRAINS
4850,CUR RTGH DEMU SPL,PASS-TRAINS
4851,MTD RTGH DEMU SPL,PASS-TRAINS
4852,RTGH MTD DEMU SPL,PASS-TRAINS
4853,SIKR LHU SPL,PASS-TRAINS
4854,LHU SIKR SPL,PASS-TRAINS
4879,BME MBF SPL,PASS-TRAINS
4880,MBF BME SPL,PASS-TRAINS
5109,BNRS PRRB MAGH MELA SPL,PASS-TRAINS
5110,PRRB BNRS MAGH MELA SPL,PASS-TRAINS
5311,BC PBE DEMU SPL,PASS-TRAINS
5312,PBE BS DEMU SPL,PASS-TRAINS
5401,BC KPV DEMU SPL,PASS-TRAINS
5402,KPV BC DEMU SPL,PASS-TRAINS
5509,SHC JMP MEMU SPL,PASS-TRAINS
5510,JMP SHC MEMU SPL,PASS-TRAINS
6197,TVR KKDI DEMU SPL,PASS-TRAINS
6198,KKDI TVR DEMU SPL,PASS-TRAINS
6269,MYS SMVB EXP SPL,PASS-TRAINS
6270,SMVB MYS EXP SPL,PASS-TRAINS
6525,SBC MYS MEMU SPL,PASS-TRAINS
6526,MYS SBC MEMU SPL,PASS-TRAINS
6527,BWT SMVB MEMU SPL,PASS-TRAINS
6528,SMVB BWT MEMU SPL,PASS-TRAINS
6532,DHL SBC MEMU SPL,PASS-TRAINS
6535,DHL BNC MEMU SPL,PASS-TRAINS
6536,BNC DHL MEMU SPL,PASS-TRAINS
6537,DHL BNC MEMU SPL,PASS-TRAINS
6538,BNC DHL MEMU SPL,PASS-TRAINS
6581,SBC CPT PASS SPL,PASS-TRAINS
6582,CPT SBC PASS SPL,PASS-TRAINS
6583,SBC HAS MEMU,PASS-TRAINS
6584,HAS SBC MEMU,PASS-TRAINS
6591,YPR HSRA MEMU SPL,PASS-TRAINS
6592,HSRA YPR MEMU SPL,PASS-TRAINS
6605,GATL JLWC MEMU SPL,PASS-TRAINS
6606,JLWC GATL MEMU SPL,PASS-TRAINS
6607,BINA GUNA MEMU,PASS-TRAINS
6608,GUNA BINA MEMU SPL,PASS-TRAINS
6709,CBE PLNI PASS SPL,PASS-TRAINS
6710,PLNI CBE PASS SPL,PASS-TRAINS
6716,TPJ TJ DEMU SPL,PASS-TRAINS
6717,TTP TPJ DEMU SPL,PASS-TRAINS
6718,TJ TTP DEMU SPL,PASS-TRAINS
6851,TVR PKT DEMU SPL,PASS-TRAINS
6852,PKT TVR DEMU SPL,PASS-TRAINS
6919,UBL BJP PASS SPL,PASS-TRAINS
6920,BJP UBL PASS SPL,PASS-TRAINS
7282,TEL GNT MEMU SPL,PASS-TRAINS
7393,HPT UBL DEMU SPL,PASS-TRAINS
7394,UBL HPT DEMU SPL,PASS-TRAINS
7395,BAY DVG DEMU SPL,PASS-TRAINS
7396,DVG BAY DEMU SPL,PASS-TRAINS
7397,HPT BAY DEMU SPL,PASS-TRAINS
7398,BAY HPT DEMU SPL,PASS-TRAINS
8051,KGP JGM SPL,PASS-TRAINS
8052,JGM KGP SPL,PASS-TRAINS
8534,PSA CTC PASS SPL,PASS-TRAINS
8871,GONDIA DURG SPL,PASS-TRAINS
8872,DURG GONDIA SPL,PASS-TRAINS
8873,DURG DRZ SPL,PASS-TRAINS
8874,DRZ G PASS,PASS-TRAINS
8881,BPQ CAF MEMU SPL,PASS-TRAINS
8882,CAF BPQ MEMU SPL,PASS-TRAINS
9635,JP RE PASSENGER,PASS-TRAINS
9636,RE JP PASSENGER,PASS-TRAINS
13503,BWN HTE MEMU EXP,PASS-TRAINS
13504,HTE BWN MEMU EXP,PASS-TRAINS
13545,ASN GAYA MEMU EXP,PASS-TRAINS
13546,GAYA ASN MEMU EXP,PASS-TRAINS
13553,ASN BSB MEMU EXP,PASS-TRAINS
13554,BSB ASN MEMU EXP,PASS-TRAINS
15041,FBD KSJ EXP,PASS-TRAINS
15042,KSJ FBD EXP,PASS-TRAINS
16549,SBC KQZ DEMU SPL,PASS-TRAINS
16550,KQZ SBC DEMU SPL,PASS-TRAINS
17334,CLR MRJ PASS,PASS-TRAINS
17660,BDCR SC EXP,PASS-TRAINS
18033,HWH GTS MEMU EXP,PASS-TRAINS
18034,GTS HWH MEMU EXP,PASS-TRAINS
31770,LGL RHA EMU,PASS-TRAINS
31861,KNJ LGL LOCAL,PASS-TRAINS
31863,KNJ LGL LOCAL,PASS-TRAINS
31864,LGL KNJ LOCAL,PASS-TRAINS
33684,GBG SDAH LOCAL,PASS-TRAINS
37279,HWH BDC LOCAL,PASS-TRAINS
37290,BDC HWH LOCAL,PASS-TRAINS
37386,AMBG TAK LOCAL,PASS-TRAINS
50103,RATNAGIRI PASS,PASS-TRAINS
50104,RN DIVA PASS,PASS-TRAINS
50119,DIVA PNVL PASS,PASS-TRAINS
50120,PNVL DIVA PASS,PASS-TRAINS
51027,FAST PASSENGER,PASS-TRAINS
51028,FAST PASSENGER,PASS-TRAINS
51029,BJP FAST PASS,PASS-TRAINS
51030,BJP BB FAST PAS,PASS-TRAINS
51033,SHIRDI FAST PASS,PASS-TRAINS
51034,CSMT FAST PASS,PASS-TRAINS
51101,JM KMN PASS,PASS-TRAINS
51102,KMN JM PASS,PASS-TRAINS
51103,JM KMN PASS,PASS-TRAINS
51104,KMN JM PASS,PASS-TRAINS
51105,JM KMN PASS,PASS-TRAINS
51106,KMN JM PASS,PASS-TRAINS
51107,JM KMN PASS,PASS-TRAINS
51108,KMN JM PASS,PASS-TRAINS
51111,CSN DHI PASS,PASS-TRAINS
51112,DHI CSN PASS,PASS-TRAINS
51113,CSN DHI PASS,PASS-TRAINS
51114,DHI CSN PASS,PASS-TRAINS
51115,CSN DHI PASS,PASS-TRAINS
51117,CSN DHI PASS,PASS-TRAINS
51118,DHI CSN PASS,PASS-TRAINS
51119,WR KALM PASS,PASS-TRAINS
51120,KALM WR PASS,PASS-TRAINS
51135,BD AMI PASS,PASS-TRAINS
51136,AMI BD PASS,PASS-TRAINS
51137,BD AMI PASS,PASS-TRAINS
51138,AMI BD PASS,PASS-TRAINS
51139,BD AMI PASS,PASS-TRAINS
51140,AMI BD PASS,PASS-TRAINS
51141,BD AMI PASS,PASS-TRAINS
51142,AMI BD PASS,PASS-TRAINS
51145,BD AMI PASS,PASS-TRAINS
51146,AMI BD PASS,PASS-TRAINS
51147,BD AMI PASS,PASS-TRAINS
51148,AMI BD PASS,PASS-TRAINS
51149,BD AMI PASS,PASS-TRAINS
51150,AMI BD PASS,PASS-TRAINS
51151,NAVI NRKR PASS,PASS-TRAINS
51152,NRKR NAVI PASS,PASS-TRAINS
51153,CSTM BSL PASS,PASS-TRAINS
51154,BSL CSTM PASS,PASS-TRAINS
51183,BSL NRKR PASS,PASS-TRAINS
51184,NRKR BSL PASS,PASS-TRAINS
51187,BSL KTE PASS,PASS-TRAINS
51188,KTE BSL PASS,PASS-TRAINS
51195,WR BPQ PASS,PASS-TRAINS
51196,BPQ WR PASS,PASS-TRAINS
51253,AMLA CWA PASS,PASS-TRAINS
51254,CWA AMLA PASS,PASS-TRAINS
51255,BXY CWA PASS,PASS-TRAINS
51256,CWA BXY PASS,PASS-TRAINS
51259,WR NGP PASS,PASS-TRAINS
51260,NGP WR PASS,PASS-TRAINS
51261,AMI WR PASS,PASS-TRAINS
51262,WR AMI PASS,PASS-TRAINS
51285,BSL NGP PASS,PASS-TRAINS
51286,NGP BSL PASS,PASS-TRAINS
51293,NGP AMLA PASS,PASS-TRAINS
51294,AMLA NGP PASS,PASS-TRAINS
51317,KJT PUNE PASS,PASS-TRAINS
51318,PUNE KJT PASS,PASS-TRAINS
51347,PUNE-BRMT PASSENGER,PASS-TRAINS
51348,BRMT DD PASS,PASS-TRAINS
51350,DD PUNE PASS,PASS-TRAINS
51401,PUNE BRMT PASSENGER,PASS-TRAINS
51402,BRMT DD PASSENGER,PASS-TRAINS
51411,BAY DWR PASS,PASS-TRAINS
51412,UBL BAY PASS,PASS-TRAINS
51423,IGP MMR PASS,PASS-TRAINS
51424,MMR IGP PASS,PASS-TRAINS
51431,MRJ LD PASSENGER,PASS-TRAINS
51432,LD MRJ PASS,PASS-TRAINS
51451,PUNE BRMT PASS,PASS-TRAINS
51452,BRMT PUNE PAS,PASS-TRAINS
51458,DWR HUBLI PASS,PASS-TRAINS
51461,MRJ BGM PASSENGER,PASS-TRAINS
51462,BGM MRJ PASSENGER,PASS-TRAINS
51463,MRJ BGM PASSENGER,PASS-TRAINS
51464,BGM MRJ PASSENGER,PASS-TRAINS
51601,BINA KMZ PASS,PASS-TRAINS
51602,KTE BINA PASS,PASS-TRAINS
51603,BINA KTE PASS,PASS-TRAINS
51604,KTE-BINA PASSENGER,PASS-TRAINS
51605,KTE CHRM PASS,PASS-TRAINS
51606,CHRM KMZ PASS,PASS-TRAINS
51607,BINA GUNA PASS,PASS-TRAINS
51608,GUNA BINA PASS,PASS-TRAINS
51609,BINA GUNA PASS,PASS-TRAINS
51610,GUNA BINA PASS,PASS-TRAINS
51611,KOTA BINA PASS,PASS-TRAINS
51612,BINA KOTA PASS,PASS-TRAINS
51673,ET STA PASS,PASS-TRAINS
51674,STA ET PASS,PASS-TRAINS
51675,KTE CPU PASS,PASS-TRAINS
51676,CPU KMZ PASS,PASS-TRAINS
51677,CPU SKTN PASS,PASS-TRAINS
51678,SKTN CPU PASS,PASS-TRAINS
51679,KTE CPU PASS,PASS-TRAINS
51680,CPU KTE PASS,PASS-TRAINS
51683,KNW BIR PASSENGER,PASS-TRAINS
51684,BIR KNW PASSENGER,PASS-TRAINS
51685,KNW BIR PASSENGER,PASS-TRAINS
51686,BIR KNW PASSENGER,PASS-TRAINS
51687,KNW BIR PASSENGER,PASS-TRAINS
51688,BIR KNW PASSENGER,PASS-TRAINS
51703,JBP NIR PASSENGER,PASS-TRAINS
51704,NIR JBP PASSENGER,PASS-TRAINS
51705,JBP NIR PASSENGER,PASS-TRAINS
